timestamp, job_progress, replicas, error, time_progress
1589919317.823111, 0.0, 1, -0.2, 0.2
1589919320.403109, 0.0, 10, -0.4, 0.4
1589919322.789608, 0.3067484662576687, 10, -0.6969325153374233, 0.7
1589919325.158188, 14.11042944785276, 10, -0.7588957055214725, 0.9
1589919327.575771, 37.11656441717792, 10, -0.7288343558282209, 1.1
1589919329.972732, 64.7239263803681, 10, -0.7527607361963189, 1.4
1589919332.343862, 91.41104294478528, 10, -0.6858895705521473, 1.6
1589919334.728253, 100.0, 3, -0.8999999999999999, 1.9
1589919337.124208, 100.0, 2, -1.1, 2.1
1589919339.511895, 100.0, 1, -1.2999999999999998, 2.3
1589919341.941786, 100.0, 1, -1.6, 2.6
1589919344.370612, 100.0, 1, -1.7999999999999998, 2.8
1589919346.760845, 100.0, 1, -2.1, 3.1
1589919349.148176, 100.0, 1, -2.3, 3.3
1589919351.513211, 100.0, 1, -2.5, 3.5
1589919353.932323, 100.0, 1, -2.8, 3.8
