timestamp, job_progress, replicas, error, time_progress
1589885846.795623, 0.0, 1, -0.2, 0.2
1589885849.484282, 2.147239263803681, 10, -0.3785276073619632, 0.4
1589885851.862168, 7.361963190184049, 10, -0.6263803680981594, 0.7
1589885854.246544, 23.006134969325153, 10, -0.6699386503067485, 0.9
1589885856.618905, 40.79754601226993, 10, -0.7920245398773006, 1.2
1589885858.986842, 63.190184049079754, 10, -0.7680981595092023, 1.4
1589885861.382763, 91.71779141104295, 10, -0.6828220858895706, 1.6
1589885863.788908, 100.0, 2, -0.8999999999999999, 1.9
1589885866.164243, 100.0, 2, -1.1, 2.1
