timestamp, replicas, real_output_flux, input_flux, error
0.0, 1, 0, 0, 0
2.0, 1, 0, 1, -1
4.0, 1, 0, 2, -2
6.0, 1, 0, 2, -2
8.0, 1, 0, 2, -2
10.0, 3, 1, 2, -1
12.0, 3, 1, 2, -1
14.0, 4, 0, 2, -2
16.0, 4, 1, 2, -1
18.0, 4, 1, 2, -1
20.0, 4, 2, 2, 0
22.0, 4, 3, 2, 1
24.0, 3, 3, 2, 1
26.0, 3, 4, 2, 2
28.0, 3, 4, 2, 2
30.0, 1, 2, 2, 0
32.0, 1, 4, 2, 2
34.0, 1, 4, 4, 0
36.0, 1, 4, 4, 0
38.0, 1, 3, 4, -1
40.0, 1, 4, 4, 0
42.0, 1, 4, 4, 0
44.0, 1, 4, 4, 0
46.0, 1, 4, 4, 0
48.0, 1, 3, 4, -1
50.0, 2, 4, 4, 0
52.0, 2, 4, 4, 0
54.0, 1, 3, 4, -1
56.0, 1, 3, 4, -1
58.0, 1, 2, 4, -2
60.0, 4, 2, 4, -2
62.0, 4, 2, 4, -2
64.0, 6, 2, 2, 0
66.0, 6, 2, 2, 0
68.0, 6, 2, 2, 0
70.0, 5, 3, 2, 1
72.0, 5, 2, 2, 0
74.0, 5, 3, 2, 1
76.0, 5, 2, 2, 0
78.0, 5, 4, 2, 2
80.0, 3, 4, 2, 2
82.0, 3, 4, 2, 2
84.0, 1, 4, 2, 2
86.0, 1, 2, 2, 0
88.0, 1, 3, 2, 1
90.0, 1, 2, 2, 0
92.0, 1, 2, 2, 0
94.0, 1, 2, 4, -2
96.0, 1, 2, 4, -2
98.0, 1, 3, 4, -1
100.0, 2, 3, 4, -1
102.0, 2, 2, 4, -2
104.0, 4, 2, 4, -2
106.0, 4, 3, 4, -1
108.0, 4, 2, 4, -2
110.0, 6, 4, 4, 0
112.0, 6, 4, 4, 0
114.0, 6, 3, 4, -1
116.0, 5, 2, 4, -2
118.0, 5, 2, 4, -2
120.0, 8, 2, 4, -2
122.0, 8, 2, 4, -2
124.0, 8, 2, 1, 1
126.0, 6, 2, 0, 2
128.0, 6, 2, 0, 2
130.0, 4, 4, 0, 4
132.0, 4, 4, 0, 4
134.0, 4, 4, 0, 4
136.0, 1, 3, 0, 3
138.0, 1, 2, 0, 2
140.0, 1, 0, 0, 0
142.0, 1, 0, 0, 0
144.0, 1, 0, 0, 0
146.0, 1, 0, 0, 0
148.0, 1, 0, 0, 0
150.0, 1, 0, 0, 0
152.0, 1, 0, 0, 0
154.0, 1, 0, 0, 0
156.0, 1, 0, 0, 0
158.0, 1, 0, 0, 0
160.0, 1, 0, 0, 0
162.0, 1, 0, 0, 0
164.0, 1, 0, 0, 0
166.0, 1, 0, 0, 0
168.0, 1, 0, 0, 0
171.0, 1, 0, 0, 0
173.0, 1, 0, 0, 0
175.0, 1, 0, 0, 0
