timestamp, replicas, real_output_flux, input_flux, error
0.0, 1, 0, 0, 0
2.0, 1, 0, 2, -2
4.0, 1, 0, 2, -2
6.0, 1, 0, 2, -2
8.0, 1, 0, 2, -2
10.0, 3, 1, 2, -1
12.0, 3, 1, 2, -1
14.0, 4, 1, 2, -1
16.0, 4, 0, 2, -2
18.0, 4, 1, 2, -1
20.0, 5, 2, 2, 0
22.0, 5, 2, 2, 0
24.0, 5, 4, 2, 2
26.0, 5, 4, 2, 2
28.0, 5, 3, 2, 1
30.0, 4, 5, 2, 3
32.0, 4, 4, 3, 1
34.0, 3, 4, 4, 0
36.0, 3, 4, 4, 0
38.0, 3, 4, 4, 0
40.0, 3, 4, 4, 0
42.0, 3, 4, 4, 0
44.0, 3, 4, 4, 0
46.0, 3, 4, 4, 0
48.0, 3, 4, 4, 0
50.0, 3, 4, 4, 0
52.0, 3, 4, 4, 0
54.0, 3, 4, 4, 0
56.0, 3, 4, 4, 0
58.0, 3, 4, 4, 0
60.0, 3, 4, 4, 0
62.0, 3, 4, 4, 0
64.0, 3, 3, 2, 1
66.0, 3, 2, 2, 0
68.0, 3, 2, 2, 0
70.0, 3, 2, 2, 0
72.0, 3, 2, 2, 0
74.0, 3, 2, 2, 0
76.0, 3, 2, 2, 0
78.0, 3, 2, 2, 0
80.0, 3, 2, 2, 0
82.0, 3, 2, 2, 0
84.0, 3, 2, 2, 0
86.0, 3, 2, 2, 0
88.0, 3, 2, 2, 0
90.0, 3, 2, 2, 0
92.0, 3, 2, 2, 0
94.0, 3, 2, 4, -2
96.0, 3, 3, 4, -1
98.0, 3, 2, 4, -2
100.0, 5, 3, 4, -1
102.0, 5, 2, 4, -2
104.0, 7, 3, 4, -1
106.0, 7, 2, 4, -2
108.0, 7, 2, 4, -2
110.0, 8, 4, 4, 0
112.0, 8, 4, 4, 0
114.0, 8, 5, 4, 1
117.0, 8, 6, 4, 2
119.0, 8, 6, 4, 2
121.0, 7, 4, 4, 0
123.0, 7, 6, 4, 2
125.0, 5, 4, 0, 4
127.0, 5, 0, 0, 0
129.0, 4, 0, 0, 0
131.0, 4, 0, 0, 0
