timestamp, replicas, real_output_flux, input_flux, error
0.0, 1, 0.0, 0.49019607843137253, -0.49019607843137253
2.0, 1, 0.0, 1.0, -1.0
4.0, 1, 0.0, 1.0, -1.0
6.0, 1, 0.5, 1.0, -0.5
8.0, 1, 1.0, 1.0, 0.0
10.0, 1, 1.0, 1.0, 0.0
12.0, 1, 0.5, 1.0, -0.5
14.0, 1, 1.0, 1.0, 0.0
16.0, 1, 1.0, 1.0, 0.0
18.0, 1, 1.0, 1.0, 0.0
20.0, 1, 0.5, 1.0, -0.5
22.0, 1, 1.0, 1.0, 0.0
24.0, 1, 1.0, 1.0, 0.0
26.0, 1, 1.0, 1.0, 0.0
28.0, 1, 1.0, 1.0, 0.0
30.0, 1, 1.0, 1.5, -0.5
32.0, 1, 0.5, 3.0, -2.5
34.0, 3, 1.0, 3.0, -2.0
36.0, 3, 1.0, 3.0, -2.0
38.0, 3, 1.0, 3.0, -2.0
40.0, 2, 1.0, 3.0, -2.0
42.0, 2, 1.0, 3.0, -2.0
44.0, 3, 2.0, 3.0, -1.0
46.0, 3, 2.5, 3.0, -0.5
48.0, 3, 2.985074626865672, 2.985074626865672, 0.0
50.0, 1, 3.0, 3.0, 0.0
52.0, 1, 3.0, 3.0, 0.0
54.0, 1, 3.5, 3.0, 0.5
56.0, 1, 2.5, 3.0, -0.5
58.0, 1, 4.0, 3.0, 1.0
60.0, 1, 4.0, 2.5, 1.5
62.0, 1, 4.0, 1.0, 3.0
64.0, 1, 3.5, 1.0, 2.5
66.0, 1, 4.0, 1.0, 3.0
68.0, 1, 2.5, 1.0, 1.5
70.0, 1, 3.5, 1.0, 2.5
72.0, 1, 3.0, 1.0, 2.0
74.0, 1, 1.5, 1.0, 0.5
76.0, 1, 1.0, 1.0, 0.0
78.0, 1, 1.0, 1.0, 0.0
80.0, 1, 0.0, 0.9950248756218907, -0.9950248756218907
82.0, 1, 1.0, 1.0, 0.0
84.0, 1, 1.0, 1.0, 0.0
86.0, 1, 1.0, 1.0, 0.0
88.0, 1, 0.5, 1.0, -0.5
90.0, 1, 1.0, 1.5, -0.5
92.0, 1, 1.0, 3.0, -2.0
94.0, 2, 1.0, 3.0, -2.0
96.0, 2, 1.0, 3.0, -2.0
98.0, 2, 1.0, 3.0, -2.0
100.0, 2, 0.5, 3.0, -2.5
102.0, 2, 1.0, 3.0, -2.0
104.0, 3, 1.5, 3.0, -1.5
106.0, 3, 1.5, 3.0, -1.5
108.0, 3, 2.0, 3.0, -1.0
110.0, 2, 2.0, 3.0, -1.0
112.0, 2, 1.5, 3.0, -1.5
114.0, 2, 2.0, 3.0, -1.0
116.0, 2, 2.5, 3.0, -0.5
118.0, 2, 3.0, 3.0, 0.0
120.0, 1, 3.0, 2.0, 1.0
122.0, 1, 2.5, 0.0, 2.5
124.0, 1, 2.5, 0.0, 2.5
126.0, 1, 3.0, 0.0, 3.0
128.0, 1, 2.5, 0.0, 2.5
130.0, 1, 3.0, 0.0, 3.0
132.0, 1, 3.0, 0.0, 3.0
134.0, 1, 3.0, 0.0, 3.0
136.0, 1, 2.0, 0.0, 2.0
138.0, 1, 0.0, 0.0, 0.0
140.0, 1, 0.5, 0.0, 0.5
142.0, 1, 0.0, 0.0, 0.0
144.0, 1, 0.0, 0.0, 0.0
146.0, 1, 0.0, 0.0, 0.0
148.0, 1, 0.0, 0.0, 0.0
150.0, 1, 0.0, 0.0, 0.0
152.0, 1, 0.0, 0.0, 0.0
154.0, 1, 0.0, 0.0, 0.0
156.0, 1, 0.0, 0.0, 0.0
158.0, 1, 0.0, 0.0, 0.0
160.0, 1, 0.0, 0.0, 0.0
162.0, 1, 0.0, 0.0, 0.0
164.0, 1, 0.0, 0.0, 0.0
166.0, 1, 0.0, 0.0, 0.0
168.0, 1, 0.0, 0.0, 0.0
170.0, 1, 0.0, 0.0, 0.0
172.0, 1, 0.0, 0.0, 0.0
174.0, 1, 0.0, 0.0, 0.0
176.0, 1, 0.0, 0.0, 0.0
178.0, 1, 0.0, 0.0, 0.0
180.0, 1, 0.0, 0.0, 0.0
182.0, 1, 0.0, 0.0, 0.0
184.0, 1, 0.0, 0.0, 0.0
186.0, 1, 0.0, 0.0, 0.0
188.0, 1, 0.0, 0.0, 0.0
190.0, 1, 0.0, 0.0, 0.0
192.0, 1, 0.0, 0.0, 0.0
194.0, 1, 0.0, 0.0, 0.0
196.0, 1, 0.0, 0.0, 0.0
198.0, 1, 0.0, 0.0, 0.0
200.0, 1, 0.0, 0.0, 0.0
