timestamp, replicas, real_output_flux, input_flux, error
0.0, 1, 0, 0, 0
2.0, 1, 0, 1, -1
4.0, 1, 0, 2, -2
6.0, 1, 0, 2, -2
8.0, 1, 0, 2, -2
10.0, 3, 0, 2, -2
12.0, 3, 1, 2, -1
14.0, 4, 1, 2, -1
16.0, 4, 0, 2, -2
18.0, 4, 1, 2, -1
20.0, 4, 2, 2, 0
22.0, 4, 3, 2, 1
24.0, 3, 3, 2, 1
26.0, 3, 4, 2, 2
28.0, 3, 3, 2, 1
30.0, 2, 4, 2, 2
32.0, 2, 4, 3, 1
34.0, 1, 4, 4, 0
36.0, 1, 4, 4, 0
38.0, 1, 2, 4, -2
41.0, 4, 4, 4, 0
43.0, 4, 4, 4, 0
45.0, 3, 4, 4, 0
47.0, 3, 2, 4, -2
49.0, 3, 4, 4, 0
51.0, 3, 4, 4, 0
53.0, 3, 6, 4, 2
55.0, 1, 5, 4, 1
57.0, 1, 5, 4, 1
59.0, 1, 4, 4, 0
61.0, 1, 4, 4, 0
63.0, 1, 4, 4, 0
65.0, 1, 4, 2, 2
67.0, 1, 2, 2, 0
69.0, 1, 2, 2, 0
71.0, 1, 2, 2, 0
73.0, 1, 2, 2, 0
75.0, 1, 2, 2, 0
77.0, 1, 2, 2, 0
79.0, 1, 2, 2, 0
81.0, 1, 2, 2, 0
83.0, 1, 2, 2, 0
85.0, 1, 2, 2, 0
87.0, 1, 1, 2, -1
89.0, 1, 0, 2, -2
91.0, 4, 1, 2, -1
93.0, 4, 1, 2, -1
95.0, 4, 1, 4, -3
97.0, 4, 1, 4, -3
99.0, 4, 0, 4, -4
101.0, 8, 1, 4, -3
103.0, 8, 2, 4, -2
105.0, 8, 4, 4, 0
107.0, 8, 4, 4, 0
109.0, 8, 2, 4, -2
111.0, 8, 4, 4, 0
113.0, 8, 4, 4, 0
115.0, 8, 4, 4, 0
117.0, 8, 4, 4, 0
119.0, 8, 2, 4, -2
121.0, 8, 4, 4, 0
123.0, 8, 4, 4, 0
125.0, 8, 4, 0, 4
127.0, 8, 4, 0, 4
129.0, 8, 3, 0, 3
131.0, 8, 4, 0, 4
133.0, 8, 4, 0, 4
135.0, 8, 4, 0, 4
137.0, 7, 3, 0, 3
139.0, 7, 0, 0, 0
141.0, 7, 0, 0, 0
143.0, 7, 0, 0, 0
145.0, 7, 0, 0, 0
147.0, 7, 0, 0, 0
149.0, 7, 0, 0, 0
151.0, 7, 0, 0, 0
153.0, 2, 0, 0, 0
155.0, 2, 0, 0, 0
157.0, 1, 0, 0, 0
