timestamp, job_progress, replicas, error, time_progress
1588897383.12561, 0.0, 1, -0.2857142857142857, 0.2857142857142857
1588897385.775344, 0.1251564455569462, 7, -0.5701770069730019, 0.5714285714285714
1588897388.208935, 1.7521902377972465, 7, -0.9824780976220275, 1.0
1588897390.603446, 8.88610763454318, 7, -1.196853209368854, 1.2857142857142858
1588897393.011811, 18.89862327909887, 7, -1.5252994814947254, 1.7142857142857142
1588897395.391437, 28.660826032540676, 7, -1.7133917396745932, 2.0
1588897397.780032, 39.17396745932415, 7, -1.893974611121044, 2.2857142857142856
1588897400.188246, 48.93617021276596, 7, -2.2249240121580547, 2.7142857142857144
1588897402.592502, 58.94868585732165, 7, -2.4105131414267835, 3.0
1588897404.991071, 69.21151439299123, 7, -2.736456284641516, 3.4285714285714284
1588897407.366829, 78.72340425531915, 7, -2.927051671732523, 3.7142857142857144
1588897409.75571, 89.11138923654568, 7, -3.108886107634543, 4.0
1588897412.148804, 99.12390488110138, 7, -3.437332379760415, 4.428571428571429
1588897414.586119, 100.0, 3, -3.7142857142857144, 4.714285714285714
1588897416.986672, 100.0, 3, -4.142857142857143, 5.142857142857143
