timestamp, job_progress, replicas, error, time_progress
1588982678.537202, 0.0, 1, -0.25, 0.25
1588982681.424926, 0.2503128911138924, 8, -0.6224968710888611, 0.625
1588982683.83082, 2.5031289111389237, 8, -0.8499687108886108, 0.875
1588982686.239906, 10.262828535669586, 8, -1.0223717146433042, 1.125
1588982688.617487, 18.89862327909887, 8, -1.3110137672090112, 1.5
1588982691.016916, 27.284105131414265, 8, -1.4771589486858574, 1.75
1588982693.532103, 38.17271589486859, 8, -1.743272841051314, 2.125
1588982695.907239, 49.3116395494368, 8, -1.881883604505632, 2.375
1588982698.310027, 60.95118898623279, 8, -2.140488110137672, 2.75
1588982700.697068, 72.46558197747184, 8, -2.2753441802252814, 3.0
1588982703.079773, 83.60450563204004, 8, -2.4139549436795997, 3.25
1588982705.455448, 95.36921151439299, 8, -2.67130788485607, 3.625
1588982707.834005, 100.0, 4, -2.875, 3.875
1588982710.278712, 100.0, 4, -3.25, 4.25
