#timestamp, job_progress, replicas, error, time_progress
1593140158.543093, 0.0, 1, -0.1, 0.1
1593140161.065259, 0.0, 1, -0.2, 0.2
1593140163.428059, 0.0, 1, -0.35, 0.35
1593140166.250038, 0.3067484662576687, 1, -0.44693251533742334, 0.45
1593140168.59759, 4.601226993865031, 1, -0.5539877300613497, 0.6
1593140170.998646, 8.282208588957054, 1, -0.6171779141104294, 0.7
1593140173.358799, 11.65644171779141, 1, -0.7334355828220859, 0.85
1593140175.712432, 15.030674846625766, 1, -0.7996932515337423, 0.95
1593140178.063681, 18.711656441717793, 1, -0.8628834355828221, 1.05
1593140180.42148, 22.085889570552148, 1, -0.9791411042944784, 1.2
1593140182.771715, 25.4601226993865, 1, -1.0453987730061352, 1.3
1593140185.120426, 29.141104294478527, 1, -1.1085889570552148, 1.4
1593140187.474995, 32.515337423312886, 1, -1.224846625766871, 1.55
1593140189.844784, 35.88957055214724, 1, -1.2911042944785276, 1.65
1593140192.193935, 39.57055214723926, 1, -1.3542944785276074, 1.75
1593140194.539772, 42.944785276073624, 1, -1.4705521472392638, 1.9
1593140196.887045, 46.31901840490797, 1, -1.5368098159509203, 2.0
1593140199.249739, 50.0, 1, -1.6, 2.1
1593140201.602293, 53.37423312883436, 1, -1.7162576687116564, 2.25
1593140203.969581, 57.05521472392638, 1, -1.7794478527607362, 2.35
1593140206.331768, 60.42944785276073, 1, -1.8957055214723928, 2.5
1593140208.690284, 63.80368098159509, 1, -1.9619631901840493, 2.6
1593140211.053134, 67.48466257668711, 1, -2.025153374233129, 2.7
1593140213.39952, 70.85889570552148, 1, -2.1414110429447852, 2.85
1593140215.747297, 74.23312883435584, 1, -2.2076687116564417, 2.95
1593140218.096185, 77.91411042944786, 1, -2.2708588957055214, 3.05
1593140220.457916, 81.28834355828221, 1, -2.387116564417178, 3.2
1593140222.816567, 84.66257668711657, 1, -2.453374233128834, 3.3
1593140225.170805, 88.34355828220859, 1, -2.5165644171779142, 3.4
1593140227.529063, 91.71779141104295, 1, -2.63282208588957, 3.55
1593140229.907672, 95.39877300613497, 1, -2.69601226993865, 3.65
1593140232.278548, 98.77300613496932, 1, -2.7622699386503067, 3.75
1593140234.646046, 100.0, 1, -2.9, 3.9
