#timestamp, job_progress, replicas, error, time_progress
1593142475.13252, 0.0, 1, -0.1, 0.1
1593142477.952329, 2.4539877300613497, 1, -0.2254601226993865, 0.25
1593142480.43979, 6.134969325153374, 1, -0.28865030674846626, 0.35
1593142482.808571, 9.815950920245399, 1, -0.401840490797546, 0.5
1593142485.405873, 13.190184049079754, 1, -0.4680981595092024, 0.6
1593142487.790853, 17.177914110429448, 1, -0.5782208588957055, 0.75
1593142490.173781, 20.858895705521473, 1, -0.6414110429447852, 0.85
1593142492.53827, 24.539877300613497, 1, -0.704601226993865, 0.95
1593142494.899967, 27.914110429447852, 1, -0.8208588957055216, 1.1
1593142497.260514, 31.595092024539877, 1, -0.8840490797546012, 1.2
1593142500.109961, 34.96932515337423, 1, -1.0003067484662578, 1.35
1593142502.463714, 39.263803680981596, 1, -1.057361963190184, 1.45
1593142504.822609, 42.944785276073624, 1, -1.170552147239264, 1.6
1593142507.197006, 46.31901840490797, 1, -1.2368098159509202, 1.7
1593142509.546252, 50.0, 1, -1.3, 1.8
1593142511.995209, 53.68098159509203, 1, -1.4131901840490797, 1.95
1593142514.389713, 57.05521472392638, 1, -1.479447852760736, 2.05
1593142516.9831, 60.73619631901841, 1, -1.592638036809816, 2.2
1593142519.342168, 64.7239263803681, 1, -1.6527607361963188, 2.3
1593142522.384732, 69.01840490797547, 1, -1.7598159509202456, 2.45
1593142524.736338, 72.69938650306749, 1, -1.8730061349693252, 2.6
1593142527.087572, 76.38036809815951, 1, -1.936196319018405, 2.7
1593142529.452896, 79.75460122699386, 1, -2.0024539877300613, 2.8
1593142531.847552, 83.43558282208589, 1, -2.115644171779141, 2.95
1593142534.21389, 87.11656441717791, 1, -2.178834355828221, 3.05
1593142537.034364, 91.1042944785276, 1, -2.2889570552147243, 3.2
1593142539.400262, 94.78527607361963, 1, -2.3521472392638034, 3.3
1593142541.786585, 98.15950920245399, 1, -2.46840490797546, 3.45
1593142544.137273, 100.0, 1, -2.55, 3.55
